# The data points for the QLF at different redshift bins are given here.
# status 1 points are the selected points and status 0 points are the rejected points. 
# The columns are as follows:
# zmin   zmax   label                      status  mags      logphi      right    left     uperr    downerr
  1.40   1.60   Milliquas DR16 gG               1  -24.600   -7.247      0.300    0.300    0.014    0.014
  1.40   1.60   Milliquas DR16 gG               1  -24.000   -6.925      0.300    0.300    0.009    0.009
  1.40   1.60   Milliquas DR16 gG               1  -23.400   -6.625      0.300    0.300    0.007    0.007
  1.40   1.60   Milliquas DR16 gG               1  -22.800   -6.594      0.300    0.300    0.006    0.006
  1.40   1.60   Milliquas DR16 gG               1  -22.200   -7.035      0.300    0.300    0.011    0.011
  1.40   1.60   Milliquas DR16 gG               1  -21.600   -8.035      0.300    0.300    0.034    0.035
  1.40   1.60   Milliquas DR16 gG               1  -21.000   -9.313      0.300    0.300    0.163    0.172
  1.40   1.60   Croom et al. 2009               1  -25.800   -7.057      0.300    0.300    0.120    0.123
  1.40   1.60   Croom et al. 2009               1  -25.200   -6.533      0.300    0.300    0.056    0.057
  1.40   1.60   Croom et al. 2009               1  -24.600   -6.169      0.300    0.300    0.042    0.042
  1.40   1.60   Croom et al. 2009               1  -24.000   -5.930      0.300    0.300    0.033    0.033
  1.40   1.60   Croom et al. 2009               1  -23.400   -5.654      0.300    0.300    0.024    0.024
  1.40   1.60   Croom et al. 2009               1  -22.800   -5.551      0.300    0.300    0.023    0.023
  1.40   1.60   Croom et al. 2009               0  -22.200   -5.595      0.300    0.300    0.029    0.029
  1.40   1.60   Richards et al. 2006            1  -28.200   -9.878      0.300    0.300    0.518    0.763
  1.40   1.60   Richards et al. 2006            1  -27.600   -9.033      0.300    0.300    0.187    0.200
  1.40   1.60   Richards et al. 2006            1  -27.000   -8.130      0.300    0.300    0.062    0.062
  1.40   1.60   Richards et al. 2006            1  -26.400   -7.473      0.300    0.300    0.028    0.028
  1.40   1.60   Richards et al. 2006            1  -25.800   -6.936      0.300    0.300    0.015    0.015
